"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
-1.33742569014729,11.1100816571449,-20.5701865279938,3.30318601252647e-10,1.71080567404334e-08,13.8663785414664,"SPCC320.05"
-1.67292374318442,10.6391748901226,-20.5102189650985,3.40964234313318e-10,1.74016199001366e-08,13.8328820577245,"SPCC576.01c"
-1.18032077046806,10.4695526556498,-20.4371206080258,3.54448393090832e-10,1.79587185832688e-08,13.7919176535595,"SPNCRNA.1374"
-1.64589343480774,11.1507501011216,-20.2153813014519,3.99026658221118e-10,1.97871942856884e-08,13.6667489373931,"SPNCRNA.1318"
-1.60678854297964,11.1282382636806,-20.0349042160122,4.39819785505685e-10,2.16564784525053e-08,13.5638522852485,"SPAC25B8.13c"
1.70354626729438,9.38774087015354,20.0106346480988,4.45642878150722e-10,2.1789755272936e-08,13.5499446079875,"SPBC947.05c"
-1.62000591705236,8.51418026367658,-19.8397192426874,4.89104705362289e-10,2.33838436798847e-08,13.4515215378637,"SPNCRNA.571"
1.12831187832262,9.57761318250779,19.8303291026435,4.91622571645172e-10,2.33838436798847e-08,13.4460896370677,"SPBC1773.16c"
1.09761800923729,11.5321623432765,19.8165579862421,4.95340680798039e-10,2.34015002712155e-08,13.4381188349332,"SPAC11D3.14c"
-1.23655746145124,9.17987933858581,-19.7645715039079,5.0965476749663e-10,2.39161485525935e-08,13.4079788683906,"SPNCRNA.270"
-1.18212827144692,10.5141926176763,-19.7326768170865,5.18658975480784e-10,2.41452612689435e-08,13.3894482723534,"SPCC548.07c"
1.0957650310839,11.5253696334605,19.6445005342883,5.44464808050441e-10,2.48816858685535e-08,13.3380626809242,"SPNCRNA.609"
-1.06548660308006,12.5976846206121,-19.6268712824794,5.49789862082133e-10,2.49618877641446e-08,13.3277615040462,"SPAC1F7.12"
1.60283153523435,6.92364227102097,19.6055951616484,5.56292028146993e-10,2.50941539406695e-08,13.315317101262,"SPMITTRNAGLN.01"
-1.66364375993576,10.8057712732812,-19.5340342430011,5.78782712217216e-10,2.57888659015374e-08,13.2733622593465,"SPAC3C7.05c"
-1.2414202560594,9.2630242176265,-19.2789464508513,6.67363233022612e-10,2.95329349702158e-08,13.1225558336261,"SPNCRNA.1083"
1.19094525191874,7.48972206166956,19.1957965401452,6.99342137224078e-10,3.07534605249733e-08,13.0729697642034,"SPBPB10D8.03"
-3.83429320846829,5.14569366901859,-18.9419117252588,8.07747254473851e-10,3.48627703906245e-08,12.9202395441344,"SPAC750.07c"
-1.39483184263725,11.5055374584369,-18.8676700537798,8.42804406078976e-10,3.61526896153632e-08,12.8751950750766,"SPCC1393.12"
1.47625093323346,6.21729115026675,18.8133978723252,8.69477806519623e-10,3.70694440438122e-08,12.8421557635905,"SPNCRNA.1340"
1.25475479747988,12.2633965696671,18.7340766952849,9.10127202846359e-10,3.85038091116716e-08,12.7936977914712,"SPAC1093.06c"
1.33491093486274,12.5949280552532,18.7088555439901,9.23481548471436e-10,3.86645687839059e-08,12.7782475759851,"SPAC23D3.12"
-1.42012700468456,9.72616233214829,-18.5435893623639,1.01643918297469e-09,4.20529157831895e-08,12.6764966209486,"SPAC1399.04c"
-1.0954353973156,12.8702864635556,-18.5213861471435,1.02968424174898e-09,4.23503071665227e-08,12.6627585939693,"SPBC18E5.07"
-1.02589462595514,12.8183237013942,-18.4210530441393,1.09192173833085e-09,4.36301820678727e-08,12.6004758459769,"SPBP8B7.16c"
1.18678009107202,13.8221833946017,18.3788280744564,1.11932691849944e-09,4.44678057622051e-08,12.5741645677138,"SPNCRNA.1659"
-1.70989705654098,8.48414811832088,-18.2305413548608,1.22165492189174e-09,4.77196157199277e-08,12.4812915843308,"SPCC338.18"
