"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
-1.86030896473054,6.74019355408507,-16.9145477906742,2.73786368767022e-09,9.02978438876896e-08,11.6232162375512,"SPBPB8B6.02c"
-1.83923389198609,3.99634848536543,-5.19958112947523,0.000283703459586042,0.000859841607900133,-0.717279214247058,"SPCC191.10"
-1.82815565671171,10.6310806634184,-31.7272905571162,2.87025006258573e-12,5.26463110331534e-10,18.7981960658863,"SPCC794.03"
-1.82591878720842,10.1677193115374,-21.7670236854951,1.78534714815659e-10,1.02747684852906e-08,14.5150492040974,"SPBC1604.04"
-1.821170352983,3.99393102774566,-9.20245060453651,1.54468908289513e-06,1.15760622375164e-05,4.84102071514868,"SPNCRNA.217"
-1.80356300818688,5.30041656246275,-9.74888228744859,8.67986824171957e-07,7.57673392585559e-06,5.4590983816688,"SPNCRNA.993"
-1.7867181299824,13.657746148791,-24.4170983366125,5.09310837900059e-11,3.95677930955246e-09,15.8303571712378,"SPCC191.07"
-1.7798601549266,10.3030160324597,-22.774683390378,1.09003064856553e-10,6.92863117706383e-09,15.0336644839598,"SPCC16A11.15c"
-1.7544680124,10.4947709894197,-26.3000129761585,2.25732546063689e-11,2.28350506625814e-09,16.6776446393181,"SPAC29A4.12c"
-1.74538458899416,5.44343982765535,-6.59873549034254,3.65970112805337e-05,0.000152132165798747,1.45569088805443,"SPNCRNA.26"
-1.72966058194104,8.46208472228071,-15.8340039603175,5.5552823531292e-09,1.48253947378165e-07,10.8690687528461,"SPNCRNA.626"
-1.710469699348,3.54546201324266,-6.27592730676146,5.73194886458146e-05,0.000221791845385465,0.977956156267444,"SPNCRNA.1120"
-1.71005973234896,12.2863936351055,-22.9175303130797,1.01812495743059e-10,6.71578273807048e-09,15.1052755777083,"SPCC306.08c"
-1.70994130496665,8.59459155483667,-13.0366523643971,4.36122112113787e-08,7.07509468190162e-07,8.66591025582783,"SPBC29A3.21"
-1.70989705654098,8.48414811832088,-18.2305413548608,1.22165492189174e-09,4.77196157199277e-08,12.4812915843308,"SPCC338.18"
-1.70894636690813,3.50097430852726,-7.35167009831858,1.35370591745623e-05,6.71284523039285e-05,2.51704612339111,"SPNCRNA.155"
-1.70622832336048,4.34412512894558,-6.55300088741499,3.89662732111129e-05,0.000159983665468057,1.38885258710501,"SPNCRNA.313"
-1.7018387305144,1.54685353535176,-3.48598533579988,0.00500893747402602,0.009983606276622,-3.70854001849317,"SPBPB2B2.15"
-1.69009682482771,5.17143600410326,-5.65845074161036,0.000140650884866539,0.000474399897244014,0.0247808251182189,"SPNCRNA.126"
-1.68779143227171,11.6310958875068,-29.1146844723509,7.3908244533475e-12,9.7503102976992e-10,17.8310015129529,"SPAPB1A10.14"
-1.67302355553258,11.1920603102676,-32.5281556049679,2.18081648765406e-12,4.62068753990218e-10,19.0771768967077,"SPCC162.02c"
-1.67292374318442,10.6391748901226,-20.5102189650985,3.40964234313318e-10,1.74016199001366e-08,13.8328820577245,"SPCC576.01c"
-1.66526619585382,4.90458421264789,-6.14804146993579,6.87342824664033e-05,0.000259497895791086,0.784814129594301,"SPNCRNA.869"
-1.66364375993576,10.8057712732812,-19.5340342430011,5.78782712217216e-10,2.57888659015374e-08,13.2733622593465,"SPAC3C7.05c"
-1.65671110533948,10.7322177280516,-32.9035632111336,1.9216965988976e-12,4.19890706859125e-10,19.2053267614814,"SPCC645.03c"
-1.65106345983248,5.33557089570368,-7.63050262645998,9.53174101228268e-06,4.99969491056868e-05,2.89206172594109,"SPNCRNA.279"
-1.64624062518029,0.548746875060096,-9.36594634298742,1.29636703019626e-06,1.00937619990337e-05,5.02892652496132,"SPAC212.05c"
-1.64624062518029,0.548746875060096,-3.5872354569757,0.00418795894247976,0.00857960999877482,-3.52509768005242,"SPNCRNA.481"
-1.64589343480774,11.1507501011216,-20.2153813014519,3.99026658221118e-10,1.97871942856884e-08,13.6667489373931,"SPNCRNA.1318"
-1.64525567359207,9.40410200856922,-21.5603971299111,1.98077786075964e-10,1.09917450812948e-08,14.4056811929424,"SPBC1271.09"
-1.64524699409252,7.26027488193786,-11.9841368238121,1.05061362121116e-07,1.43992190525517e-06,7.72376747202814,"SPNCRNA.1218"
-1.64322732544993,13.3550179486331,-35.9094025486741,7.32510599660552e-13,2.04868564513063e-10,20.1754992902699,"SPAC1556.02c"
-1.64181439041688,13.7418824353709,-37.0354613559903,5.20861345040646e-13,1.65293892952716e-10,20.5153305603485,"SPBC3H7.03c"
-1.62000591705236,8.51418026367658,-19.8397192426874,4.89104705362289e-10,2.33838436798847e-08,13.4515215378637,"SPNCRNA.571"
-1.60678854297964,11.1282382636806,-20.0349042160122,4.39819785505685e-10,2.16564784525053e-08,13.5638522852485,"SPAC25B8.13c"
-1.59198980692031,3.57976815687646,-7.50525608245281,1.11459500882185e-05,5.68726423317788e-05,2.72477940594612,"SPAC869.04"
-1.59024274861698,3.28711983895919,-3.03243195471477,0.0112610049896753,0.02031921210008,-4.53090690135463,"SPNCRNA.127"
-1.58967495144856,12.8002549398099,-21.4218244698645,2.12482379651986e-10,1.16982425080841e-08,14.3317362074694,"SPAC1006.01"
-1.55322892067872,7.2749742633048,-16.2976438598442,4.07891146138766e-09,1.16407138522541e-07,11.1985065437207,"SPBP4H10.09"
-1.54418979813266,3.37875425117763,-5.50592775173004,0.000177007609589814,0.000576449560434085,-0.218697097874982,"SPNCRNA.1249"
-1.54248125036058,1.07706770863381,-3.69880120366192,0.00344182303131451,0.00719008862711414,-3.32341442742027,"SPBC1348.06c"
-1.54064862617819,4.6977025933696,-10.6783955428198,3.44905020938643e-07,3.64286390695316e-06,6.44899182748614,"SPNCRNA.51"
-1.53497994341628,10.3597833887755,-21.6635865439293,1.88041964716414e-10,1.0603140462074e-08,14.4604321928828,"SPAC17A2.01"
-1.52959996124547,8.45580330318693,-20.6136762778245,3.22824469594973e-10,1.69713435444214e-08,13.8906095295253,"SPBC16E9.17c"
-1.52328183118154,8.41828283523343,-21.9694723041809,1.61405286552464e-10,9.72884278943816e-09,14.6211859878935,"SPNCRNA.1301"
-1.52231452607001,6.38233729809776,-3.35141715660156,0.00636210909869358,0.0123566296716849,-3.95269596730685,"SPAPB1A11.02"
-1.50779984625472,10.4349156487948,-10.9301912898657,2.71720131113622e-07,2.97318803872683e-06,6.70480004576065,"SPCC1223.09"
-1.50448932540399,6.67423133681138,-13.2313600722797,3.73223829173728e-08,6.4123722554265e-07,8.8327037062513,"SPAC186.07c"
-1.50000461967015,8.31852163521622,-12.771766255547,5.40851781231657e-08,8.36645056276935e-07,8.43536352987046,"SPNCRNA.29"
-1.49114485041407,11.2273263327859,-26.8716879617123,1.78298979125323e-11,1.91794840314502e-09,16.922260035108,"SPBC1683.10c"
-1.48877797638112,12.0316437191687,-24.8202613276075,4.25744009157055e-11,3.48109151321196e-09,16.0174134628617,"SPBC1683.07"
-1.4883840822445,10.2295159383468,-24.7897859248268,4.31508388137389e-11,3.48109151321196e-09,16.0033850455732,"SPAC922.03"
-1.48283617898303,11.5461888111127,-21.7238878589167,1.82434355593441e-10,1.03705773521085e-08,14.4923047270727,"SPAC24B11.13"
-1.47631334195496,10.0670698293315,-25.7043011261943,2.90183686229143e-11,2.66968991330811e-09,16.4166756097399,"SPNCRNA.1560"
-1.46765911135546,11.0101302474488,-14.205886946913,1.76296702983505e-08,3.52190442074475e-07,9.63538213184342,"SPCC737.04"
-1.46574729265964,5.58911241445726,-8.06048424269228,5.64667496239265e-06,3.27104816379863e-05,3.4522488757486,"SPBC1348.05"
-1.46405075627988,10.6798635501009,-11.8756524732474,1.15464283944792e-07,1.53192841241363e-06,7.62254632108555,"SPAC513.03"
-1.46272170096498,10.2207793122908,-30.652767664696,4.19475123939306e-12,6.66584106041734e-10,18.4113826415568,"SPNCRNA.1320"
-1.46242697999167,13.3404221752515,-13.4753207482251,3.07935984552799e-08,5.50661995906182e-07,9.03858265921702,"SPBC16E9.16c"
-1.46187349197523,14.5007360635669,-15.8472507354748,5.50583162477042e-09,1.47711834160845e-07,10.8786078505226,"SPCC548.06c"
-1.44957146621025,10.241960361356,-29.7747835612822,5.77568506006023e-12,8.07671798798823e-10,18.0840877728234,"SPBC1198.01"
-1.44629072983273,10.9471865785798,-23.0364544150027,9.62192855184112e-11,6.71578273807048e-09,15.1645444942966,"SPBC725.03"
-1.43723455895807,2.60942821310574,-3.41429517323167,0.00568858260860557,0.0112041041124986,-3.83858163138351,"SPNCRNA.385"
-1.43301348028102,11.8725974164257,-26.2696333987092,2.28611777228361e-11,2.28350506625814e-09,16.6644879461988,"SPAC3A11.10c"
-1.43061650611777,2.20508830994116,-4.94786699392877,0.000422207187399845,0.00119179356249484,-1.13631181976521,"SPBCPT2R1.03"
-1.43047604296605,10.7217203662476,-16.8752153066321,2.8072030961588e-09,9.12928560388015e-08,11.5965854929399,"SPBC26H8.11c"
-1.42662045640988,5.52211681189465,-8.33053487699536,4.10650483646776e-06,2.58906057859176e-05,3.79326770199936,"SPBC1348.11"
-1.42500226390843,9.29808373614474,-25.9807098842231,2.58082808135441e-11,2.54157041476479e-09,16.5385508332503,"SPBP4H10.10"
-1.42012700468456,9.72616233214829,-18.5435893623639,1.01643918297469e-09,4.20529157831895e-08,12.6764966209486,"SPAC1399.04c"
-1.41886822529976,11.7929276688129,-33.2604614625873,1.70618584083642e-12,3.84827464488007e-10,19.3256501752828,"SPCC330.12c"
-1.41263028838661,12.4412484559547,-25.2702014521331,3.49715156321524e-11,3.05651046625012e-09,16.2224550584246,"SPAC6C3.04"
-1.41157098702355,4.63574675959718,-6.23827293048103,6.04539996969901e-05,0.000231740332171795,0.921318125570416,"SPNCRNA.452"
-1.40172980773996,4.18150422303965,-4.31087257841196,0.00120094080405719,0.00289750797169353,-2.23191587471582,"SPNCRNA.52"
-1.4009076232203,11.0019095238034,-28.5872000318201,9.03619328396409e-12,1.12823327574066e-09,17.6242425877028,"SPBP8B7.30c"
-1.40058442323492,10.2063191856331,-25.5451935647468,3.10614356071271e-11,2.81952654676302e-09,16.3458928658759,"SPCPB1C11.02"
-1.40022601114754,2.21538418643746,-3.2493660985179,0.007633157003885,0.0144676155519555,-4.13791313878262,"SPAC212.03"
-1.40000085630516,8.49182690885027,-5.35020715912625,0.000224599710216259,0.000703584755301113,-0.470549778825121,"SPBC1289.14"
-1.39853690882802,10.7787342147918,-11.4587417065263,1.6714811387387e-07,2.02197164741539e-06,7.22590492760313,"SPCC338.12"
-1.39624062518029,4.0303299121489,-3.84427332591047,0.0026696976348674,0.00577374756046794,-3.06141401344838,"SPNCRNA.1415"
-1.39511190828978,5.35110928533512,-4.26026000062783,0.00130797847090362,0.00311385273018661,-2.32092936816877,"SPAC1786.04"
-1.39483184263725,11.5055374584369,-18.8676700537798,8.42804406078976e-10,3.61526896153632e-08,12.8751950750766,"SPCC1393.12"
-1.39060617948278,12.7451750297739,-26.995647968714,1.69517497656605e-11,1.88137514859521e-09,16.9745713230178,"SPBP8B7.05c"
-1.39011745604961,7.38944870721929,-12.0940894076499,9.55456161138211e-08,1.35367420465306e-06,7.82554294430203,"SPBC1348.14c"
-1.38196090489338,12.5370162388561,-12.9896925650402,4.52955393160017e-08,7.26390850682302e-07,8.6253469103119,"SPAC2H10.01"
-1.37242028064909,3.53104250537351,-5.05592655136403,0.000355571151476841,0.00103062610348851,-0.955406161349441,"SPNCRNA.397"
-1.37052394020893,9.60620160956112,-11.6888502334066,1.36088081778675e-07,1.7300506687209e-06,7.44634499346346,"SPNCRNA.606"
-1.37015455944502,7.82827323913736,-10.3175329066139,4.89507058859164e-07,4.78689979796263e-06,6.07343608975711,"SPNCRNA.1621"
-1.35159783355924,9.63050272862886,-13.3067560741598,3.5157289921342e-08,6.1301688561103e-07,8.89669544248717,"SPBC36.02c"
-1.34983936880903,11.7400736208861,-30.011688553079,5.29339879748573e-12,7.8747754025575e-10,18.1734311628649,"SPBC947.15c"
-1.34852032555774,8.14760960130189,-13.2622280157793,3.64189686706278e-08,6.30300566695617e-07,8.8589424207118,"SPAC29A4.22"
-1.34807254717433,11.6579030357344,-14.1706704002534,1.80992228919197e-08,3.59516381989496e-07,9.60726748980796,"SPBC3E7.02c"
-1.34734015336763,5.80181575972637,-3.44993089901891,0.00533968216507899,0.0105717243748927,-3.77392868708089,"SPNCRNA.61"
-1.33742569014729,11.1100816571449,-20.5701865279938,3.30318601252647e-10,1.71080567404334e-08,13.8663785414664,"SPCC320.05"
-1.3324468914484,5.44826828951581,-7.26547490599556,1.51157222300916e-05,7.39602028221136e-05,2.39919068557159,"SPAC750.02c"
-1.32959184634689,13.951978307275,-26.3918364362587,2.17267267380937e-11,2.23401872577575e-09,16.7173135554414,"SPAPB1E7.07"
-1.32685713129806,2.76650210945501,-3.06289164843277,0.0106615852597898,0.0193424504765049,-4.47583809228427,"SPNCRNA.917"
-1.32433695594204,3.97672403559383,-7.06125008280614,1.97011440847041e-05,9.13464187269567e-05,2.11624479175077,"SPAC5D6.10c"
-1.31210084809522,10.5616588773664,-21.8525611387031,1.71067318096877e-10,1.0078352247831e-08,14.5600156748988,"SPBC839.06"
-1.30959480549533,13.2441108535591,-40.6854173998207,1.84290852377988e-13,6.955823999562e-11,21.5392489899024,"SPCC1223.08c"
-1.3058189936294,7.56878919142452,-9.54427088741252,1.0737529127096e-06,8.82218609361397e-06,5.23095420756662,"SPNCRNA.627"
-1.30397066347288,5.11540865634828,-4.56443922311318,0.000786932557588327,0.00201031510509959,-1.79008627883634,"SPAC212.02"
-1.30233349185615,12.1286628533031,-9.88331426359412,7.56239043283605e-07,6.82582474405126e-06,5.60690863229158,"SPNCRNA.832"
-1.30069810839423,12.1506537711192,-9.96190150310472,6.9819149541348e-07,6.38137900121706e-06,5.69256569557124,"SPAC23H3.15c"
-1.29897137648008,10.1837908068034,-13.5782731427659,2.84199832085248e-08,5.17480527588556e-07,9.12445009079745,"SPCPB16A4.07"
-1.2961048184776,13.3067199373149,-27.7949204071155,1.23053830149092e-11,1.43398730067075e-09,17.3058245691074,"SPAC1565.01"
-1.29420060470999,6.7565995135547,-15.4399052366615,7.27149236725295e-09,1.84211139970408e-07,10.5817612621129,"SPNCRNA.642"
-1.29248125036058,1.36165416690705,-3.32634303723416,0.00665291296455312,0.0128571496539954,-3.99820767440943,"SPNCRNA.283"
-1.29114441599581,13.1187938536473,-25.7077923406837,2.89752115143016e-11,2.66968991330811e-09,16.4182235771691,"SPBC56F2.11"
-1.28545702332083,12.6894650337769,-10.7058893802429,3.35962415413548e-07,3.55378095094029e-06,6.47716896621184,"SPCC1235.14"
-1.284980076648,10.316886367046,-13.0473744171622,4.3237457986481e-08,7.07168039420439e-07,8.67515339962305,"SPAC1F8.05"
-1.28483385174119,10.6479765607171,-18.1278221504893,1.29848317635599e-09,4.97799296401972e-08,12.4165226468848,"SPNCRNA.1668"
-1.27761291026466,15.7426253655809,-16.8460301505622,2.85988658972949e-09,9.21489725133114e-08,11.5767864948592,"SPBC354.12"
-1.27732311420975,5.83767117251536,-10.5016875686313,4.08900246717814e-07,4.16768298112384e-06,6.26643021083459,"SPBC119.04"
-1.2758907742598,11.6154029583978,-10.1848251969411,5.58197865098831e-07,5.3100945207769e-06,5.93258681948493,"SPAC22H10.13"
-1.27496212158628,5.74301955649355,-8.13726684106068,5.1537180664966e-06,3.04605213194795e-05,3.55004045330543,"SPNCRNA.256"
-1.27112037983769,7.50289372623409,-14.1422337201059,1.84882852249351e-08,3.66204221792481e-07,9.58451838823055,"SPAC186.01"
-1.27060612423454,5.35642947225506,-9.2965725718364,1.39602970430916e-06,1.07618960226346e-05,4.94951152463663,"SPBPB2B2.16c"
-1.2580551508485,10.8848281533669,-16.7037957564514,3.13248899740284e-09,9.84683208923972e-08,11.4798206859123,"SPBC56F2.06"
-1.25490318346774,6.67826526259967,-5.70889093687325,0.000130447239709416,0.00044513767693911,0.104599988917588,"SPBPB21E7.10"
